[INFO] Logger set up successfully
[INFO] Running on device: cuda
[INFO] Simulation environment: data/val_square_UTM_translated_12.inp
[INFO] Loss: SOFTADAPT
[INFO] Run directory created successfully
[INFO] Starting training run: 14
[INFO] Epoch: 45000 -             Loss: 0.002142,             Residual Loss: 0.000021,             Initial Loss: 0.002094,             Boundary Loss: 0.000026
[INFO] Epoch: 46000 -             Loss: 0.002143,             Residual Loss: 0.000025,             Initial Loss: 0.002093,             Boundary Loss: 0.000026
[INFO] Epoch: 47000 -             Loss: 0.002142,             Residual Loss: 0.000028,             Initial Loss: 0.002087,             Boundary Loss: 0.000027
[INFO] Epoch: 48000 -             Loss: 0.002141,             Residual Loss: 0.000030,             Initial Loss: 0.002083,             Boundary Loss: 0.000028
[INFO] Epoch: 49000 -             Loss: 0.002137,             Residual Loss: 0.000026,             Initial Loss: 0.002082,             Boundary Loss: 0.000029
[INFO] Epoch: 50000 -             Loss: 0.002166,             Residual Loss: 0.000011,             Initial Loss: 0.002135,             Boundary Loss: 0.000021
[INFO] Epoch: 51000 -             Loss: 0.002151,             Residual Loss: 0.000017,             Initial Loss: 0.002110,             Boundary Loss: 0.000024
[INFO] Epoch: 52000 -             Loss: 0.002142,             Residual Loss: 0.000021,             Initial Loss: 0.002094,             Boundary Loss: 0.000026
[INFO] Epoch: 53000 -             Loss: 0.002135,             Residual Loss: 0.000025,             Initial Loss: 0.002083,             Boundary Loss: 0.000028
[INFO] Epoch: 54000 -             Loss: 0.002132,             Residual Loss: 0.000027,             Initial Loss: 0.002076,             Boundary Loss: 0.000028
[INFO] Epoch: 55000 -             Loss: 0.002130,             Residual Loss: 0.000026,             Initial Loss: 0.002076,             Boundary Loss: 0.000028
[INFO] Epoch: 56000 -             Loss: 0.002141,             Residual Loss: 0.000039,             Initial Loss: 0.002070,             Boundary Loss: 0.000032
[INFO] Epoch: 57000 -             Loss: 0.002128,             Residual Loss: 0.000033,             Initial Loss: 0.002065,             Boundary Loss: 0.000030
[INFO] Epoch: 58000 -             Loss: 0.002122,             Residual Loss: 0.000030,             Initial Loss: 0.002063,             Boundary Loss: 0.000029
[INFO] Epoch: 59000 -             Loss: 0.002128,             Residual Loss: 0.000026,             Initial Loss: 0.002074,             Boundary Loss: 0.000028
[INFO] Epoch: 60000 -             Loss: 0.002142,             Residual Loss: 0.000053,             Initial Loss: 0.002060,             Boundary Loss: 0.000029
[INFO] Epoch: 61000 -             Loss: 0.002119,             Residual Loss: 0.000033,             Initial Loss: 0.002057,             Boundary Loss: 0.000029
[INFO] Epoch: 62000 -             Loss: 0.002115,             Residual Loss: 0.000033,             Initial Loss: 0.002054,             Boundary Loss: 0.000028
[INFO] Epoch: 63000 -             Loss: 0.002111,             Residual Loss: 0.000035,             Initial Loss: 0.002048,             Boundary Loss: 0.000029
[INFO] Epoch: 64000 -             Loss: 0.002126,             Residual Loss: 0.000051,             Initial Loss: 0.002044,             Boundary Loss: 0.000030
[INFO] Epoch: 65000 -             Loss: 0.002106,             Residual Loss: 0.000038,             Initial Loss: 0.002040,             Boundary Loss: 0.000028
[INFO] Epoch: 66000 -             Loss: 0.002104,             Residual Loss: 0.000039,             Initial Loss: 0.002037,             Boundary Loss: 0.000028
[INFO] Epoch: 67000 -             Loss: 0.002102,             Residual Loss: 0.000040,             Initial Loss: 0.002035,             Boundary Loss: 0.000027
[INFO] Epoch: 68000 -             Loss: 0.002101,             Residual Loss: 0.000041,             Initial Loss: 0.002032,             Boundary Loss: 0.000027
[INFO] Epoch: 69000 -             Loss: 0.002098,             Residual Loss: 0.000042,             Initial Loss: 0.002028,             Boundary Loss: 0.000028
[INFO] Epoch: 70000 -             Loss: 0.002100,             Residual Loss: 0.000048,             Initial Loss: 0.002024,             Boundary Loss: 0.000029
[INFO] Epoch: 71000 -             Loss: 0.002095,             Residual Loss: 0.000044,             Initial Loss: 0.002023,             Boundary Loss: 0.000028
[INFO] Epoch: 72000 -             Loss: 0.002104,             Residual Loss: 0.000053,             Initial Loss: 0.002023,             Boundary Loss: 0.000028
[INFO] Epoch: 73000 -             Loss: 0.002093,             Residual Loss: 0.000043,             Initial Loss: 0.002024,             Boundary Loss: 0.000027
[INFO] Epoch: 74000 -             Loss: 0.002090,             Residual Loss: 0.000046,             Initial Loss: 0.002016,             Boundary Loss: 0.000028
[INFO] Epoch: 75000 -             Loss: 0.002090,             Residual Loss: 0.000047,             Initial Loss: 0.002015,             Boundary Loss: 0.000028
[INFO] Epoch: 76000 -             Loss: 0.002087,             Residual Loss: 0.000047,             Initial Loss: 0.002012,             Boundary Loss: 0.000028
[INFO] Epoch: 77000 -             Loss: 0.002086,             Residual Loss: 0.000047,             Initial Loss: 0.002011,             Boundary Loss: 0.000027
[INFO] Epoch: 78000 -             Loss: 0.002085,             Residual Loss: 0.000049,             Initial Loss: 0.002009,             Boundary Loss: 0.000027
[INFO] Epoch: 79000 -             Loss: 0.002084,             Residual Loss: 0.000049,             Initial Loss: 0.002008,             Boundary Loss: 0.000027
[INFO] Epoch: 80000 -             Loss: 0.002084,             Residual Loss: 0.000050,             Initial Loss: 0.002007,             Boundary Loss: 0.000026
[INFO] Epoch: 81000 -             Loss: 0.002110,             Residual Loss: 0.000082,             Initial Loss: 0.002002,             Boundary Loss: 0.000026
[INFO] Epoch: 82000 -             Loss: 0.002079,             Residual Loss: 0.000050,             Initial Loss: 0.002002,             Boundary Loss: 0.000026
[INFO] Epoch: 83000 -             Loss: 0.002078,             Residual Loss: 0.000051,             Initial Loss: 0.002001,             Boundary Loss: 0.000026
[INFO] Epoch: 84000 -             Loss: 0.002131,             Residual Loss: 0.000109,             Initial Loss: 0.001996,             Boundary Loss: 0.000026
[INFO] Epoch: 85000 -             Loss: 0.002075,             Residual Loss: 0.000053,             Initial Loss: 0.001995,             Boundary Loss: 0.000026
[INFO] Epoch: 86000 -             Loss: 0.002074,             Residual Loss: 0.000054,             Initial Loss: 0.001993,             Boundary Loss: 0.000026
[INFO] Epoch: 87000 -             Loss: 0.002076,             Residual Loss: 0.000059,             Initial Loss: 0.001990,             Boundary Loss: 0.000027
[INFO] Epoch: 88000 -             Loss: 0.002077,             Residual Loss: 0.000061,             Initial Loss: 0.001990,             Boundary Loss: 0.000026
[INFO] Epoch: 89000 -             Loss: 0.002077,             Residual Loss: 0.000064,             Initial Loss: 0.001986,             Boundary Loss: 0.000026
[INFO] Epoch: 90000 -             Loss: 0.002069,             Residual Loss: 0.000057,             Initial Loss: 0.001986,             Boundary Loss: 0.000026
[INFO] Epoch: 91000 -             Loss: 0.002074,             Residual Loss: 0.000060,             Initial Loss: 0.001989,             Boundary Loss: 0.000025
[INFO] Epoch: 92000 -             Loss: 0.002071,             Residual Loss: 0.000060,             Initial Loss: 0.001987,             Boundary Loss: 0.000024
[INFO] Epoch: 93000 -             Loss: 0.002075,             Residual Loss: 0.000067,             Initial Loss: 0.001983,             Boundary Loss: 0.000026
[INFO] Epoch: 94000 -             Loss: 0.002072,             Residual Loss: 0.000049,             Initial Loss: 0.001998,             Boundary Loss: 0.000025
[INFO] Epoch: 95000 -             Loss: 0.002064,             Residual Loss: 0.000058,             Initial Loss: 0.001982,             Boundary Loss: 0.000025
[INFO] Epoch: 96000 -             Loss: 0.002063,             Residual Loss: 0.000060,             Initial Loss: 0.001978,             Boundary Loss: 0.000025
[INFO] Epoch: 97000 -             Loss: 0.002092,             Residual Loss: 0.000090,             Initial Loss: 0.001976,             Boundary Loss: 0.000025
[INFO] Epoch: 98000 -             Loss: 0.002097,             Residual Loss: 0.000097,             Initial Loss: 0.001975,             Boundary Loss: 0.000025
[INFO] Epoch: 99000 -             Loss: 0.002063,             Residual Loss: 0.000064,             Initial Loss: 0.001976,             Boundary Loss: 0.000024
[INFO] Epoch: 100000 -             Loss: 0.002060,             Residual Loss: 0.000062,             Initial Loss: 0.001973,             Boundary Loss: 0.000024
[INFO] Epoch: 101000 -             Loss: 0.002061,             Residual Loss: 0.000057,             Initial Loss: 0.001978,             Boundary Loss: 0.000026
[INFO] Epoch: 102000 -             Loss: 0.002057,             Residual Loss: 0.000062,             Initial Loss: 0.001970,             Boundary Loss: 0.000025
[INFO] Epoch: 103000 -             Loss: 0.002055,             Residual Loss: 0.000063,             Initial Loss: 0.001968,             Boundary Loss: 0.000025
[INFO] Epoch: 104000 -             Loss: 0.002058,             Residual Loss: 0.000068,             Initial Loss: 0.001966,             Boundary Loss: 0.000024
[INFO] Epoch: 105000 -             Loss: 0.002057,             Residual Loss: 0.000065,             Initial Loss: 0.001968,             Boundary Loss: 0.000025
[INFO] Epoch: 106000 -             Loss: 0.002089,             Residual Loss: 0.000095,             Initial Loss: 0.001970,             Boundary Loss: 0.000024
[INFO] Epoch: 107000 -             Loss: 0.002057,             Residual Loss: 0.000067,             Initial Loss: 0.001965,             Boundary Loss: 0.000025
[INFO] Epoch: 108000 -             Loss: 0.002049,             Residual Loss: 0.000064,             Initial Loss: 0.001961,             Boundary Loss: 0.000024
[INFO] Epoch: 109000 -             Loss: 0.002049,             Residual Loss: 0.000069,             Initial Loss: 0.001956,             Boundary Loss: 0.000025
[INFO] Epoch: 110000 -             Loss: 0.002061,             Residual Loss: 0.000084,             Initial Loss: 0.001952,             Boundary Loss: 0.000026
[INFO] Epoch: 111000 -             Loss: 0.002044,             Residual Loss: 0.000066,             Initial Loss: 0.001953,             Boundary Loss: 0.000025
[INFO] Epoch: 112000 -             Loss: 0.002043,             Residual Loss: 0.000068,             Initial Loss: 0.001951,             Boundary Loss: 0.000024
[INFO] Epoch: 113000 -             Loss: 0.002045,             Residual Loss: 0.000069,             Initial Loss: 0.001952,             Boundary Loss: 0.000024
[INFO] Epoch: 114000 -             Loss: 0.002043,             Residual Loss: 0.000069,             Initial Loss: 0.001950,             Boundary Loss: 0.000024
[INFO] Epoch: 115000 -             Loss: 0.002040,             Residual Loss: 0.000068,             Initial Loss: 0.001948,             Boundary Loss: 0.000023
[INFO] Epoch: 116000 -             Loss: 0.002037,             Residual Loss: 0.000068,             Initial Loss: 0.001945,             Boundary Loss: 0.000024
[INFO] Epoch: 117000 -             Loss: 0.002038,             Residual Loss: 0.000071,             Initial Loss: 0.001943,             Boundary Loss: 0.000024
[INFO] Epoch: 118000 -             Loss: 0.002066,             Residual Loss: 0.000043,             Initial Loss: 0.001999,             Boundary Loss: 0.000024
[INFO] Epoch: 119000 -             Loss: 0.002035,             Residual Loss: 0.000068,             Initial Loss: 0.001943,             Boundary Loss: 0.000024
[INFO] Epoch: 120000 -             Loss: 0.002043,             Residual Loss: 0.000075,             Initial Loss: 0.001944,             Boundary Loss: 0.000024
[INFO] Epoch: 121000 -             Loss: 0.002035,             Residual Loss: 0.000071,             Initial Loss: 0.001941,             Boundary Loss: 0.000023
[INFO] Epoch: 122000 -             Loss: 0.002030,             Residual Loss: 0.000071,             Initial Loss: 0.001936,             Boundary Loss: 0.000023
[INFO] Epoch: 123000 -             Loss: 0.002041,             Residual Loss: 0.000083,             Initial Loss: 0.001935,             Boundary Loss: 0.000023
[INFO] Epoch: 124000 -             Loss: 0.002033,             Residual Loss: 0.000075,             Initial Loss: 0.001934,             Boundary Loss: 0.000023
[INFO] Epoch: 125000 -             Loss: 0.002028,             Residual Loss: 0.000075,             Initial Loss: 0.001930,             Boundary Loss: 0.000023
